Vata,Pitta,Kapha,Dosha_Type
2,28,4,Pitta
53,25,105,Kapha
144,98,141,Vata-Kapha
88,96,59,Pitta
73,29,60,Vata
11,94,119,Kapha
138,150,110,Pitta
147,150,42,Pitta-Vata
115,92,147,Kapha
12,107,7,Pitta
24,48,98,Kapha
38,80,48,Pitta
147,81,49,Vata
111,104,128,Kapha
49,80,145,Kapha
14,104,1,Pitta
52,37,76,Kapha
17,84,60,Pitta
117,0,60,Vata
111,97,76,Vata
92,32,46,Vata
39,84,142,Kapha
115,98,109,Vata
123,92,146,Kapha
95,72,147,Kapha
117,111,130,Kapha
70,19,59,Vata
30,74,35,Pitta
119,100,87,Vata
116,54,39,Vata
41,117,137,Kapha
138,143,147,Kapha-Pitta
47,39,134,Kapha
122,144,149,Kapha-Pitta
144,23,35,Vata
37,148,30,Pitta
24,31,89,Kapha
72,53,113,Kapha
95,118,46,Pitta
145,95,51,Vata
128,41,26,Vata
113,143,53,Pitta
111,128,52,Pitta
125,136,35,Pitta
67,25,134,Kapha
141,12,99,Vata
73,75,7,Pitta-Vata
138,61,39,Vata
51,1,71,Kapha
63,141,89,Pitta
109,52,42,Vata
55,92,104,Kapha
142,112,111,Vata
19,56,46,Pitta
133,113,148,Kapha
120,100,50,Vata
16,16,1,Vata-Pitta
96,34,12,Vata
117,141,7,Pitta
32,139,77,Pitta
39,70,32,Pitta
20,48,40,Pitta
92,56,104,Kapha
97,64,36,Vata
76,110,45,Pitta
92,133,102,Pitta
108,106,70,Vata-Pitta
103,70,32,Vata
21,47,30,Pitta
133,6,131,Vata-Kapha
59,30,60,Kapha-Vata
92,29,36,Vata
104,54,134,Kapha
54,136,125,Pitta
104,74,37,Vata
108,62,6,Vata
29,127,33,Pitta
13,38,51,Kapha
77,116,72,Pitta
138,101,113,Vata
145,21,44,Vata
125,2,136,Kapha
147,135,131,Vata
111,17,97,Vata
149,95,110,Vata
142,52,55,Vata
102,129,37,Pitta
135,79,63,Vata
80,145,94,Pitta
79,76,91,Kapha
120,18,17,Vata
112,75,48,Vata
78,60,10,Vata
61,35,90,Kapha
85,97,33,Pitta
142,135,124,Vata
141,26,19,Vata
127,123,49,Vata-Pitta
47,65,139,Kapha
95,36,137,Kapha
5,0,118,Kapha
10,91,56,Pitta
82,88,109,Kapha
113,33,92,Vata
123,90,37,Vata
142,30,8,Vata
36,85,116,Kapha
142,128,21,Vata
34,149,74,Pitta
64,100,144,Kapha
56,66,100,Kapha
98,137,66,Pitta
149,131,145,Vata-Kapha
68,1,24,Vata
51,82,148,Kapha
80,13,31,Vata
132,47,103,Vata
140,2,73,Vata
82,88,101,Kapha
123,115,113,Vata
140,20,35,Vata
6,136,7,Pitta
74,138,79,Pitta
141,45,99,Vata
79,74,129,Kapha
122,105,125,Kapha-Vata
99,65,76,Vata
107,53,88,Vata
98,32,87,Vata
5,133,13,Pitta
149,69,123,Vata
71,131,44,Pitta
96,28,134,Kapha
14,28,22,Pitta
124,39,84,Vata
16,143,48,Pitta
102,137,136,Pitta-Kapha
57,105,102,Pitta-Kapha
108,65,74,Vata
103,22,113,Kapha
63,124,99,Pitta
35,24,10,Vata
128,108,45,Vata
138,6,17,Vata
70,27,79,Kapha
127,5,105,Vata
101,101,137,Kapha
84,94,25,Pitta
50,137,125,Pitta
40,25,1,Vata
39,67,113,Kapha
143,71,96,Vata
16,64,98,Kapha
4,26,30,Kapha
8,39,62,Kapha
65,75,135,Kapha
124,36,21,Vata
98,135,80,Pitta
138,53,98,Vata
149,87,106,Vata
122,86,27,Vata
89,91,57,Pitta-Vata
20,119,9,Pitta
6,35,39,Kapha
61,24,32,Vata
46,34,47,Kapha-Vata
91,131,59,Pitta
32,129,113,Pitta
60,66,52,Pitta
144,120,22,Vata
42,115,77,Pitta
30,148,134,Pitta
103,89,132,Kapha
139,73,72,Vata
66,135,3,Pitta
137,59,45,Vata
53,145,141,Pitta-Kapha
83,50,94,Kapha
136,78,78,Vata
90,123,130,Kapha
119,29,146,Kapha
133,89,135,Kapha-Vata
24,64,139,Kapha
36,55,1,Pitta
89,140,120,Pitta
91,150,98,Pitta
75,58,21,Vata
79,20,44,Vata
75,122,13,Pitta
49,38,131,Kapha
76,44,143,Kapha
129,122,45,Vata
133,91,15,Vata
148,107,108,Vata
112,130,34,Pitta
42,80,80,Pitta-Kapha
35,37,112,Kapha
111,32,35,Vata
122,28,35,Vata
141,68,43,Vata
85,37,31,Vata
111,32,21,Vata
122,72,49,Vata
4,67,148,Kapha
69,70,119,Kapha
128,72,9,Vata
66,27,122,Kapha
15,21,136,Kapha
148,113,142,Vata
93,25,93,Vata-Kapha
121,86,15,Vata
139,89,75,Vata
149,96,66,Vata
19,134,117,Pitta
126,55,39,Vata
12,16,103,Kapha
54,44,106,Kapha
123,38,32,Vata
83,126,96,Pitta
20,147,56,Pitta
78,10,109,Kapha
22,10,146,Kapha
69,93,129,Kapha
91,15,81,Vata
150,64,54,Vata
144,21,69,Vata
115,27,146,Kapha
142,24,137,Vata-Kapha
142,15,40,Vata
86,37,113,Kapha
144,90,137,Vata
69,67,106,Kapha
52,41,92,Kapha
45,88,146,Kapha
99,71,27,Vata
137,84,135,Vata-Kapha
104,6,84,Vata
135,97,26,Vata
64,80,25,Pitta
84,9,69,Vata
131,118,59,Vata
98,10,135,Kapha
47,141,116,Pitta
61,30,98,Kapha
86,28,76,Vata
78,106,50,Pitta
18,124,32,Pitta
41,80,66,Pitta
38,52,144,Kapha
24,41,56,Kapha
80,58,54,Vata
83,94,44,Pitta
145,74,89,Vata
84,126,30,Pitta
119,107,76,Vata
0,23,26,Kapha-Pitta
87,75,25,Vata
62,40,127,Kapha
98,126,53,Pitta
99,40,112,Kapha
66,9,38,Vata
114,91,120,Kapha
30,28,2,Vata-Pitta
68,134,88,Pitta
93,10,1,Vata
98,26,63,Vata
55,100,11,Pitta
68,56,130,Kapha
97,48,20,Vata
36,128,106,Pitta
118,60,139,Kapha
128,12,15,Vata
140,62,132,Vata
20,55,0,Pitta
37,2,94,Kapha
65,43,21,Vata
73,96,69,Pitta
21,51,57,Kapha
55,88,36,Pitta
6,90,131,Kapha
14,11,89,Kapha
53,33,122,Kapha
149,125,52,Vata
44,43,93,Kapha
9,93,92,Pitta-Kapha
30,81,23,Pitta
141,119,141,Vata-Kapha
13,145,7,Pitta
136,11,59,Vata
148,102,123,Vata
82,83,93,Kapha
18,74,103,Kapha
102,34,34,Vata
115,82,63,Vata
9,103,66,Pitta
91,80,15,Vata
39,67,112,Kapha
5,66,111,Kapha
137,54,15,Vata
110,35,50,Vata
53,35,122,Kapha
104,70,120,Kapha
129,48,39,Vata
44,133,3,Pitta
74,137,95,Pitta
129,148,18,Pitta
15,76,19,Pitta
73,86,96,Kapha
129,76,115,Vata
143,139,36,Vata-Pitta
42,94,109,Kapha
26,66,138,Kapha
110,45,99,Vata
107,2,119,Kapha
104,98,73,Vata
83,86,71,Pitta-Vata
98,14,150,Kapha
69,12,89,Kapha
122,105,97,Vata
28,113,37,Pitta
49,136,2,Pitta
81,39,104,Kapha
57,52,55,Vata-Kapha
24,75,91,Kapha
4,105,96,Pitta
109,105,44,Vata-Pitta
111,100,89,Vata
56,97,48,Pitta
92,35,122,Kapha
43,60,86,Kapha
65,20,28,Vata
5,81,93,Kapha
134,147,45,Pitta
38,107,146,Kapha
133,44,23,Vata
134,64,134,Vata-Kapha
41,51,105,Kapha
124,18,109,Vata
98,117,49,Pitta
64,101,27,Pitta
97,35,75,Vata
77,79,83,Kapha-Pitta
11,67,117,Kapha
29,127,126,Pitta-Kapha
40,113,104,Pitta
61,141,6,Pitta
49,44,116,Kapha
13,64,53,Pitta
28,86,65,Pitta
99,32,137,Kapha
2,65,47,Pitta
77,94,73,Pitta
43,24,70,Kapha
143,132,99,Vata
8,26,146,Kapha
23,107,75,Pitta
4,85,141,Kapha
67,126,56,Pitta
95,78,55,Vata
88,66,43,Vata
23,136,139,Kapha-Pitta
76,24,97,Kapha
132,114,140,Kapha
36,35,57,Kapha
81,36,25,Vata
135,27,30,Vata
43,27,75,Kapha
142,106,94,Vata
142,139,40,Vata-Pitta
38,99,142,Kapha
20,45,32,Pitta
32,92,33,Pitta
50,5,86,Kapha
125,136,105,Pitta
54,81,63,Pitta
105,88,26,Vata
138,103,0,Vata
106,21,110,Kapha-Vata
121,15,25,Vata
78,13,98,Kapha
140,90,97,Vata
70,58,82,Kapha
20,27,49,Kapha
140,119,28,Vata
17,50,142,Kapha
18,3,84,Kapha
136,132,0,Vata-Pitta
135,49,69,Vata
59,127,61,Pitta
38,124,98,Pitta
32,112,111,Pitta-Kapha
134,110,93,Vata
98,55,81,Vata
7,93,18,Pitta
54,77,29,Pitta
27,125,111,Pitta
139,66,28,Vata
26,61,82,Kapha
118,132,79,Pitta
51,23,64,Kapha
20,52,78,Kapha
59,138,42,Pitta
42,40,33,Vata-Pitta
61,146,88,Pitta
2,88,129,Kapha
95,141,81,Pitta
87,64,18,Vata
10,91,105,Kapha
65,79,107,Kapha
70,38,105,Kapha
39,100,71,Pitta
10,73,130,Kapha
129,94,52,Vata
112,112,118,Kapha
97,141,75,Pitta
126,43,132,Kapha
99,47,130,Kapha
12,107,120,Kapha
64,6,117,Kapha
89,48,76,Vata
104,50,34,Vata
78,49,130,Kapha
67,10,133,Kapha
104,0,133,Kapha
18,123,28,Pitta
129,108,47,Vata
96,76,67,Vata
115,5,72,Vata
69,76,49,Pitta
6,2,111,Kapha
1,109,27,Pitta
20,10,35,Kapha
52,144,93,Pitta
41,24,121,Kapha
137,117,134,Vata-Kapha
65,94,17,Pitta
101,47,53,Vata
63,2,9,Vata
127,92,138,Kapha
70,72,59,Pitta-Vata
21,130,133,Kapha-Pitta
36,8,67,Kapha
23,97,148,Kapha
103,61,134,Kapha
136,50,26,Vata
5,4,37,Kapha
97,50,150,Kapha
114,115,29,Pitta-Vata
64,48,65,Kapha-Vata
139,73,8,Vata
91,126,133,Kapha
41,31,53,Kapha
48,143,26,Pitta
49,113,70,Pitta
116,28,30,Vata
136,85,147,Kapha
102,18,54,Vata
138,150,42,Pitta
20,144,85,Pitta
19,26,67,Kapha
120,76,98,Vata
11,70,26,Pitta
35,40,62,Kapha
48,97,134,Kapha
41,59,5,Pitta
74,44,17,Vata
147,134,114,Vata
44,69,92,Kapha
80,83,37,Pitta-Vata
69,13,59,Vata
70,127,81,Pitta
18,96,23,Pitta
120,95,98,Vata
53,140,107,Pitta
71,25,106,Kapha
83,64,10,Vata
129,59,128,Vata-Kapha
31,25,137,Kapha
52,66,10,Pitta
114,85,91,Vata
63,69,40,Pitta
46,81,51,Pitta
121,43,98,Vata
9,138,129,Pitta
72,35,76,Kapha-Vata
82,19,99,Kapha
2,52,80,Kapha
58,67,9,Pitta
45,56,106,Kapha
27,132,8,Pitta
112,132,56,Pitta
129,104,18,Vata
150,26,126,Vata
4,17,113,Kapha
87,5,118,Kapha
24,40,57,Kapha
142,91,143,Kapha-Vata
64,18,34,Vata
91,86,149,Kapha
19,47,106,Kapha
17,12,100,Kapha
127,97,20,Vata
38,146,139,Pitta
84,69,22,Vata
86,59,100,Kapha
76,92,25,Pitta
12,110,129,Kapha
94,48,28,Vata
60,96,23,Pitta
0,2,33,Kapha
125,46,84,Vata
131,90,114,Vata
53,38,42,Vata
79,62,79,Vata-Kapha
31,53,136,Kapha
129,139,92,Pitta
143,113,150,Kapha
68,43,144,Kapha
4,133,32,Pitta
145,49,4,Vata
127,93,144,Kapha
80,150,87,Pitta
15,134,81,Pitta
12,104,28,Pitta
124,4,117,Vata
12,111,97,Pitta
78,138,149,Kapha
76,90,15,Pitta
50,108,3,Pitta
15,113,104,Pitta
100,83,104,Kapha-Vata
28,85,71,Pitta
21,36,34,Pitta-Kapha
37,126,8,Pitta
102,80,41,Vata
117,121,120,Pitta-Kapha
25,130,17,Pitta
104,96,54,Vata
85,7,9,Vata
122,24,105,Vata
79,139,22,Pitta
34,131,70,Pitta
49,98,145,Kapha
27,24,119,Kapha
35,115,52,Pitta
91,41,6,Vata
1,102,73,Pitta
7,51,93,Kapha
139,16,24,Vata
82,62,148,Kapha
10,99,132,Kapha
117,25,116,Vata-Kapha
47,132,65,Pitta
64,26,115,Kapha
147,115,68,Vata
3,72,114,Kapha
50,10,108,Kapha
127,144,130,Pitta
44,92,80,Pitta
72,67,91,Kapha
150,127,59,Vata
145,76,69,Vata
65,61,41,Vata-Pitta
103,117,14,Pitta
108,127,27,Pitta
99,35,87,Vata
33,82,137,Kapha
24,147,142,Pitta-Kapha
133,52,105,Vata
54,34,12,Vata
16,131,58,Pitta
140,31,150,Kapha
124,106,103,Vata
23,123,90,Pitta
104,26,68,Vata
117,136,78,Pitta
140,63,24,Vata
21,131,21,Pitta
132,83,104,Vata
56,53,87,Kapha
37,5,3,Vata
86,129,29,Pitta
23,34,46,Kapha
87,91,115,Kapha
81,111,79,Pitta
95,14,108,Kapha
111,66,62,Vata
109,9,124,Kapha
147,6,102,Vata
18,121,109,Pitta
1,106,76,Pitta
20,137,123,Pitta
88,67,31,Vata
141,64,101,Vata
59,55,3,Vata
64,76,131,Kapha
131,14,56,Vata
53,73,120,Kapha
115,41,20,Vata
96,139,50,Pitta
54,31,121,Kapha
79,139,11,Pitta
143,148,144,Pitta-Kapha
139,77,33,Vata
7,91,113,Kapha
143,7,74,Vata
149,105,114,Vata
68,73,34,Pitta-Vata
139,80,38,Vata
143,150,15,Pitta
94,2,119,Kapha
110,48,133,Kapha
52,107,91,Pitta
81,77,108,Kapha
40,117,114,Pitta-Kapha
93,58,121,Kapha
65,124,112,Pitta
34,137,66,Pitta
70,34,72,Kapha-Vata
59,79,144,Kapha
93,143,15,Pitta
103,139,9,Pitta
16,6,149,Kapha
106,5,45,Vata
24,106,139,Kapha
74,112,52,Pitta
73,58,65,Vata
33,83,54,Pitta
73,46,58,Vata
142,27,111,Vata
77,128,2,Pitta
2,37,55,Kapha
124,21,127,Kapha-Vata
92,51,38,Vata
123,133,69,Pitta
113,124,134,Kapha
45,27,73,Kapha
135,15,107,Vata
111,26,81,Vata
65,105,3,Pitta
98,39,98,Vata-Kapha
21,49,104,Kapha
59,99,72,Pitta
88,22,22,Vata
83,109,35,Pitta
104,122,81,Pitta
105,74,82,Vata
150,62,79,Vata
126,133,110,Pitta
97,9,12,Vata
144,106,33,Vata
36,48,143,Kapha
105,126,37,Pitta
27,26,52,Kapha
144,13,103,Vata
4,6,15,Kapha
76,14,34,Vata
23,25,137,Kapha
57,131,43,Pitta
71,34,21,Vata
15,48,67,Kapha
74,12,79,Kapha-Vata
36,79,108,Kapha
39,20,47,Kapha
96,15,69,Vata
35,46,123,Kapha
138,89,57,Vata
30,145,13,Pitta
20,49,48,Pitta-Kapha
120,114,1,Vata
67,87,33,Pitta
14,27,49,Kapha
142,3,55,Vata
78,136,87,Pitta
64,46,0,Vata
103,96,139,Kapha
101,71,34,Vata
58,129,123,Pitta
76,78,150,Kapha
20,47,106,Kapha
17,69,79,Kapha
129,58,32,Vata
77,58,77,Vata-Kapha
113,47,125,Kapha
108,26,45,Vata
150,14,45,Vata
10,7,87,Kapha
36,131,102,Pitta
47,133,29,Pitta
91,61,40,Vata
34,66,63,Pitta-Kapha
110,41,125,Kapha
28,15,130,Kapha
122,3,43,Vata
81,116,64,Pitta
47,66,20,Pitta
21,118,77,Pitta
23,136,19,Pitta
132,85,31,Vata
22,27,69,Kapha
37,124,106,Pitta
35,142,61,Pitta
66,124,19,Pitta
15,150,3,Pitta
93,135,5,Pitta
150,89,14,Vata
122,112,59,Vata
115,126,19,Pitta
97,3,22,Vata
129,48,20,Vata
111,27,111,Vata-Kapha
147,137,79,Vata
144,18,121,Vata
118,150,55,Pitta
14,98,131,Kapha
88,104,61,Pitta
141,148,94,Pitta
34,104,35,Pitta
82,98,118,Kapha
21,1,121,Kapha
85,36,35,Vata
139,30,91,Vata
53,1,86,Kapha
10,94,81,Pitta
88,33,57,Vata
17,102,83,Pitta
117,99,31,Vata
33,43,18,Pitta
12,38,37,Pitta-Kapha
50,102,23,Pitta
73,126,62,Pitta
52,127,114,Pitta
24,13,66,Kapha
11,11,142,Kapha
95,137,116,Pitta
107,56,98,Vata
27,42,80,Kapha
27,0,144,Kapha
103,30,106,Kapha-Vata
136,54,139,Kapha-Vata
84,90,114,Kapha
150,1,109,Vata
88,118,61,Pitta
96,96,27,Vata-Pitta
141,95,68,Vata
148,129,21,Vata
5,69,25,Pitta
148,47,102,Vata
49,104,56,Pitta
92,18,116,Kapha
132,39,123,Vata
121,90,51,Vata
105,3,119,Kapha
84,109,97,Pitta
125,93,36,Vata
73,20,133,Kapha
0,50,10,Pitta
92,14,53,Vata
120,96,31,Vata
141,57,111,Vata
93,84,9,Vata
21,125,40,Pitta
106,60,38,Vata
148,49,89,Vata
103,32,121,Kapha
65,35,24,Vata
16,28,106,Kapha
6,67,41,Pitta
142,84,62,Vata
12,19,95,Kapha
72,10,51,Vata
119,23,127,Kapha
59,59,33,Vata-Pitta
73,130,70,Pitta
77,131,38,Pitta
4,123,95,Pitta
109,5,122,Kapha
11,33,54,Kapha
23,82,120,Kapha
142,16,1,Vata
88,94,27,Pitta
85,43,72,Vata
104,133,116,Pitta
140,8,89,Vata
115,12,101,Vata
47,13,107,Kapha
149,45,91,Vata
97,93,89,Vata-Pitta
79,70,125,Kapha
88,35,123,Kapha
72,35,12,Vata
78,147,104,Pitta
50,20,44,Vata
112,44,65,Vata
86,13,150,Kapha
63,146,23,Pitta
37,14,48,Kapha
111,58,135,Kapha
134,95,150,Kapha
145,129,106,Vata
23,0,139,Kapha
79,90,94,Kapha-Pitta
7,35,112,Kapha
139,107,95,Vata
133,5,3,Vata
10,54,35,Pitta
34,112,105,Pitta
29,19,34,Kapha
32,105,33,Pitta
37,142,150,Kapha
11,34,129,Kapha
16,144,134,Pitta
107,72,18,Vata
62,20,145,Kapha
71,37,79,Kapha
99,80,0,Vata
16,74,39,Pitta
120,74,78,Vata
53,105,24,Pitta
127,48,116,Vata
41,77,95,Kapha
148,68,8,Vata
126,17,46,Vata
97,23,47,Vata
59,56,140,Kapha
109,36,51,Vata
119,20,80,Vata
118,83,148,Kapha
26,91,129,Kapha
31,18,139,Kapha
58,50,94,Kapha
19,24,14,Pitta
113,28,105,Vata
128,58,135,Kapha
58,81,35,Pitta
47,65,145,Kapha
102,100,86,Vata-Pitta
35,103,74,Pitta
55,141,66,Pitta
133,3,148,Kapha
25,129,88,Pitta
32,62,96,Kapha
97,137,5,Pitta
45,135,34,Pitta
40,66,103,Kapha
86,19,31,Vata
102,87,96,Vata
145,143,45,Vata-Pitta
39,123,102,Pitta
35,58,105,Kapha
127,140,149,Kapha
39,27,80,Kapha
68,73,44,Pitta-Vata
14,0,4,Vata
54,123,139,Kapha
148,45,51,Vata
69,135,95,Pitta
139,73,76,Vata
94,101,78,Pitta
92,15,136,Kapha
74,27,66,Vata
102,65,30,Vata
72,115,145,Kapha
147,38,20,Vata
24,90,105,Kapha
65,46,115,Kapha
27,96,125,Kapha
98,146,120,Pitta
79,51,6,Vata
141,141,146,Kapha-Vata
145,57,40,Vata
51,48,138,Kapha
114,32,13,Vata
79,7,94,Kapha
70,118,55,Pitta
11,130,137,Kapha
40,149,118,Pitta
38,93,57,Pitta
55,45,126,Kapha
13,101,121,Kapha
19,13,56,Kapha
34,50,21,Pitta
148,21,62,Vata
8,50,134,Kapha
17,47,14,Pitta
55,105,36,Pitta
72,37,17,Vata
95,42,111,Kapha
109,105,128,Kapha
75,71,140,Kapha
103,67,38,Vata
0,96,137,Kapha
19,13,71,Kapha
22,1,112,Kapha
13,48,18,Pitta
132,80,99,Vata
30,114,102,Pitta
139,89,21,Vata
25,134,59,Pitta
112,134,71,Pitta
18,93,20,Pitta
33,113,17,Pitta
82,80,107,Kapha
43,1,115,Kapha
80,85,56,Pitta-Vata
55,1,59,Kapha
17,84,130,Kapha
63,29,138,Kapha
32,32,75,Kapha
27,132,94,Pitta
142,51,33,Vata
108,88,54,Vata
99,34,37,Vata
140,3,12,Vata
147,109,82,Vata
149,135,50,Vata
114,110,62,Vata-Pitta
78,23,124,Kapha
136,13,96,Vata
113,140,134,Pitta
39,63,99,Kapha
56,19,111,Kapha
89,113,113,Pitta-Kapha
109,96,110,Kapha-Vata
38,17,3,Vata
114,119,56,Pitta-Vata
88,132,53,Pitta
145,10,74,Vata
146,147,80,Pitta-Vata
89,123,98,Pitta
100,137,39,Pitta
105,95,123,Kapha
32,42,40,Pitta-Kapha
104,69,139,Kapha
143,141,69,Vata-Pitta
150,69,139,Vata
117,66,8,Vata
109,112,104,Pitta-Vata
27,148,104,Pitta
58,63,118,Kapha
27,124,52,Pitta
56,79,33,Pitta
70,121,2,Pitta
31,8,49,Kapha
147,150,116,Pitta-Vata
113,100,78,Vata
15,10,94,Kapha
61,122,87,Pitta
126,41,149,Kapha
130,144,110,Pitta
38,56,148,Kapha
108,66,52,Vata
51,114,109,Pitta-Kapha
4,79,20,Pitta
106,116,0,Pitta
78,8,26,Vata
61,120,52,Pitta
33,9,95,Kapha
107,4,57,Vata
27,35,107,Kapha
76,64,130,Kapha
25,128,18,Pitta
136,40,61,Vata
96,17,106,Kapha
6,45,91,Kapha
77,134,20,Pitta
57,134,144,Kapha
51,36,3,Vata
66,84,51,Pitta
45,72,125,Kapha
73,90,21,Pitta
40,124,57,Pitta
106,138,69,Pitta
40,69,79,Kapha
133,71,138,Kapha-Vata
74,116,16,Pitta
76,112,96,Pitta
13,115,111,Pitta-Kapha
127,119,134,Kapha
48,39,57,Kapha
95,40,113,Kapha
29,15,138,Kapha
145,123,139,Vata
103,41,94,Vata
85,120,22,Pitta
98,119,98,Pitta
18,24,9,Pitta
127,37,41,Vata
69,26,103,Kapha
139,107,22,Vata
144,149,119,Pitta-Vata
126,93,141,Kapha
71,74,31,Pitta-Vata
137,147,110,Pitta
94,82,75,Vata
71,4,71,Vata-Kapha
40,122,12,Pitta
28,143,50,Pitta
147,16,71,Vata
124,13,113,Vata
41,15,101,Kapha
142,104,67,Vata
0,18,33,Kapha
6,137,68,Pitta
107,65,47,Vata
125,133,79,Pitta
49,4,46,Vata-Kapha
44,103,52,Pitta
143,137,68,Vata
126,86,139,Kapha
74,148,126,Pitta
71,116,25,Pitta
95,106,2,Pitta
93,14,83,Vata
102,102,40,Vata-Pitta
116,79,53,Vata
111,28,18,Vata
85,22,11,Vata
93,145,95,Pitta
127,79,88,Vata
44,87,103,Kapha
55,13,28,Vata
43,7,132,Kapha
0,55,86,Kapha
67,11,48,Vata
51,15,149,Kapha
12,128,33,Pitta
39,18,106,Kapha
137,25,126,Vata
66,76,53,Pitta
81,22,40,Vata
134,65,25,Vata
65,62,128,Kapha
68,22,50,Vata
114,3,57,Vata
11,114,77,Pitta
31,84,139,Kapha
121,19,114,Vata
71,88,61,Pitta
49,49,113,Kapha
58,128,90,Pitta
66,0,97,Kapha
51,35,14,Vata
122,103,50,Vata
65,88,17,Pitta
115,28,0,Vata
111,6,140,Kapha
63,34,106,Kapha
8,38,147,Kapha
63,144,134,Pitta
31,38,19,Pitta
75,63,100,Kapha
100,97,94,Vata-Pitta
80,76,110,Kapha
102,76,83,Vata
64,53,98,Kapha
10,79,31,Pitta
49,99,94,Pitta-Kapha
25,42,52,Kapha
55,7,110,Kapha
44,80,4,Pitta
126,113,114,Vata
62,7,43,Vata
1,102,59,Pitta
113,43,48,Vata
121,98,31,Vata
21,131,116,Pitta
84,48,35,Vata
62,5,150,Kapha
54,61,79,Kapha
25,25,49,Kapha
96,93,12,Vata-Pitta
98,132,89,Pitta
122,17,74,Vata
71,67,69,Vata-Kapha
118,36,30,Vata
5,79,65,Pitta
12,3,89,Kapha
50,90,68,Pitta
97,110,15,Pitta
92,44,83,Vata
64,79,40,Pitta
56,76,90,Kapha
12,85,48,Pitta
84,38,109,Kapha
91,28,87,Vata-Kapha
101,129,79,Pitta
90,144,65,Pitta
67,55,144,Kapha
60,0,86,Kapha
89,95,70,Pitta
95,26,118,Kapha
125,113,42,Vata
6,134,88,Pitta
61,90,120,Kapha
51,79,104,Kapha
103,145,130,Pitta
136,10,144,Kapha
149,128,114,Vata
62,116,123,Kapha
64,124,123,Pitta-Kapha
21,145,131,Pitta
127,62,75,Vata
124,87,69,Vata
63,143,143,Pitta-Kapha
83,37,89,Kapha
105,30,67,Vata
109,129,44,Pitta
98,91,85,Vata
44,112,123,Kapha
113,94,147,Kapha
21,97,107,Kapha
116,48,56,Vata
62,41,85,Kapha
69,120,9,Pitta
23,147,64,Pitta
26,12,96,Kapha
104,91,110,Kapha
126,52,34,Vata
16,56,72,Kapha
41,98,68,Pitta
115,96,4,Vata
48,63,4,Pitta
94,88,19,Vata
149,87,28,Vata
29,130,117,Pitta
27,15,73,Kapha
90,60,88,Vata-Kapha
2,128,106,Pitta
81,88,115,Kapha
89,67,73,Vata
124,44,70,Vata
122,67,78,Vata
117,133,24,Pitta
35,19,105,Kapha
138,74,85,Vata
81,112,96,Pitta
100,4,72,Vata
128,73,36,Vata
1,117,73,Pitta
3,100,119,Kapha
7,28,3,Pitta
107,11,8,Vata
90,82,93,Kapha-Vata
127,18,11,Vata
12,62,128,Kapha
85,123,118,Pitta-Kapha
114,20,113,Vata-Kapha
101,72,5,Vata
37,17,124,Kapha
138,121,122,Vata
69,103,70,Pitta
83,119,59,Pitta
106,2,31,Vata
26,19,1,Vata
70,22,92,Kapha
105,141,22,Pitta
95,55,149,Kapha
142,143,18,Pitta-Vata
115,80,32,Vata
66,42,136,Kapha
128,105,83,Vata
83,112,64,Pitta
11,108,116,Kapha
42,30,143,Kapha
123,32,121,Vata-Kapha
111,107,86,Vata-Pitta
12,73,87,Kapha
19,71,30,Pitta
12,33,115,Kapha
149,56,48,Vata
7,82,4,Pitta
82,104,1,Pitta
91,91,69,Vata-Pitta
46,124,58,Pitta
28,71,143,Kapha
54,67,96,Kapha
132,127,120,Vata-Pitta
16,14,132,Kapha
127,119,53,Vata
52,125,26,Pitta
4,129,147,Kapha
23,23,139,Kapha
31,126,82,Pitta
7,17,130,Kapha
135,77,0,Vata
144,104,132,Vata
112,27,52,Vata
70,32,112,Kapha
131,131,6,Vata-Pitta
114,99,14,Vata
97,112,103,Pitta
136,27,103,Vata
3,50,144,Kapha
47,3,78,Kapha
84,28,58,Vata
105,119,126,Kapha
68,45,27,Vata
15,32,28,Pitta
2,103,41,Pitta
17,61,119,Kapha
24,10,72,Kapha
3,87,116,Kapha
97,2,140,Kapha
11,41,71,Kapha
69,95,33,Pitta
55,26,147,Kapha
80,111,74,Pitta
95,73,24,Vata
89,132,95,Pitta
8,26,69,Kapha
15,131,4,Pitta
110,93,144,Kapha
39,102,126,Kapha
43,76,1,Pitta
75,33,146,Kapha
114,16,96,Vata
67,143,149,Kapha
79,103,93,Pitta
137,44,128,Vata
18,36,107,Kapha
140,30,55,Vata
116,94,57,Vata
123,88,53,Vata
118,71,119,Kapha-Vata
116,140,19,Pitta
36,149,47,Pitta
9,74,44,Pitta
33,94,36,Pitta
115,78,89,Vata
120,87,136,Kapha
110,88,3,Vata
150,44,69,Vata
55,135,32,Pitta
131,129,66,Vata-Pitta
5,30,119,Kapha
115,8,72,Vata
29,65,50,Pitta
37,65,48,Pitta
57,18,55,Vata-Kapha
60,70,35,Pitta
108,52,92,Vata
126,8,117,Vata
69,46,116,Kapha
78,36,109,Kapha
51,36,115,Kapha
14,41,0,Pitta
93,17,12,Vata
142,106,127,Vata
87,82,108,Kapha
87,137,129,Pitta
4,62,34,Pitta
13,79,109,Kapha
30,116,120,Kapha-Pitta
12,146,75,Pitta
59,29,104,Kapha
109,70,113,Kapha-Vata
123,23,27,Vata
133,109,150,Kapha
68,88,43,Pitta
57,68,22,Pitta
